OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,France Central,France South *,Germany North *,Germany West Central,India South Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,West Central US,West Europe,West India *,West US,West US 2,West US 3
Virtual Machines,ECedsv5-series,,,,,,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,
Virtual Machines,ECesv5-series,,,,,,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,
Virtual Machines,Edsv4-series,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Edsv5-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Edsv6-series,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,,,,,,GA,GA,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,Edsv7-series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,GA,,,,,,,,,,,,,,,,,,,,,GA,,,,GA,,,,,,,,,,,,,GA,GA
Virtual Machines,Edv4-series,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Edv5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Epdsv5-Series,,,GA,,,,,,GA,,GA,GA,,,,,,,,,GA,GA,GA,GA,,,GA,,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,GA,GA,,GA,GA,GA
Virtual Machines,Epdsv6-series,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,GA,,,GA,,,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,Epsv5-Series,,,GA,,,,,,GA,,GA,GA,,,,,,,,,GA,GA,GA,GA,,,GA,,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,GA,GA,,GA,GA,GA
Virtual Machines,Epsv6-series,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,GA,,,GA,,,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,ESv3-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Esv4-series,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Esv5-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Esv6-series,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,,,,,,GA,GA,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,Esv7-series,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,GA,,,,GA,,,,,,,,,,,,,GA,GA
Virtual Machines,Ev3-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Ev4-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Ev5-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,F-Series,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Virtual Machines,Fadsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,GA,,,GA,,,,GA,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,GA,GA,,,GA,,GA,GA,GA
Virtual Machines,Faldsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,GA,,,GA,,,,GA,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,GA,GA,,,GA,,GA,GA,GA
Virtual Machines,Falsv6-series,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Falsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,GA,,,GA,,,,GA,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,GA,GA,,,GA,,GA,GA,GA
Virtual Machines,Famdsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,GA,,,GA,,,,GA,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,GA,GA,,,GA,,GA,GA,GA
Virtual Machines,Famsv6-series,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Famsv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,GA,,,GA,,,,GA,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,GA,GA,,,GA,,GA,GA,GA
Virtual Machines,Fasv6-series,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Fasv7-series,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,GA,,,GA,,,,GA,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,GA,GA,,,GA,,GA,GA,GA
Virtual Machines,FS-Series,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Virtual Machines,Fsv2-Series,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Virtual Machines,FX-series,,,,,,,,,,,,,,,,,,,,,,GA,,,,,GA,,,,,GA,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,GA,GA
Virtual Machines,FXmdsv2-series,GA,,GA,GA,,GA,GA,,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,FXmsv2-series,GA,,GA,GA,,GA,GA,,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,G-Series,,,Closing Down,,,,,,Closing Down,Closing Down,,,,,,,,,,,,,Closing Down,,,,,,,,,Closing Down,,,,,,,,,Closing Down,,,,,,,,,Closing Down,,,,,,,,,Closing Down,,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,GS-Series,Closing Down,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,,,,Closing Down,Closing Down,Closing Down,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,
Virtual Machines,H-Series,,,Closing Down,,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,Closing Down,,,,,,,,Closing Down,Closing Down,,,,,,,Closing Down,,Closing Down,,,,,,,,,Closing Down,,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,HBv2-Series,,,Closing Down,,,,Closing Down,,Closing Down,,,Closing Down,,,,,,,,,,Closing Down,,,,,,,,,,Closing Down,,,,,,,,Closing Down,,,,,Closing Down,,,Closing Down,,,,,,,,,,Closing Down,,,,Closing Down,,,Closing Down,
Virtual Machines,HBv3-series,,,,,,,,,,,GA,,,,,,,,GA,,,GA,,,,,,,,,,GA,,,,,,,,,,,,,,,,GA,,,,,,,,,,,GA,,,GA,,,,GA
Virtual Machines,HBv4 series,,,GA,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,GA,,,,,,,,,,,,,,GA,,GA,GA,GA,,,,,,,,,,,,,,
Virtual Machines,HBv5-series,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,
Virtual Machines,HCv1-Series,,,Closing Down,,,,Closing Down,,Closing Down,,Closing Down,,,,,,,,,,,Closing Down,Closing Down,,,,,,,,,Closing Down,,Closing Down,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,,,,,,,,,,,Closing Down,,,Closing Down,
Virtual Machines,HX-series,,,GA,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,GA,,,,,,,,,,,,,,GA,,GA,GA,GA,,,,,,,,,,,,,,
Virtual Machines,Internal GPGen8 series,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Machines,Laosv4-series,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,,,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,Lasv3-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Lasv4 Series,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,,,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,LS-Series,Closing Down,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,,,,Closing Down,Closing Down,Closing Down,,,,,,Closing Down,Closing Down,,,,,Closing Down,,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,
Virtual Machines,LSv2-Series,,,Closing Down,,,,,,,,Closing Down,Closing Down,,,,,,,,,,Closing Down,Closing Down,Closing Down,,,Closing Down,,,,,Closing Down,,,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,,,,,,,,Closing Down,,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,Lsv3-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Lsv4 Series,GA,,GA,GA,,GA,GA,,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,,,,GA,GA,GA,GA,GA,,GA,GA,GA
Virtual Machines,M-Series,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA
Virtual Machines,Mbdsv3 Series,,,GA,,GA,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,,,GA,,GA,,,GA,,GA,,GA,,,,GA,GA,,,,,,,GA,GA,GA,,GA,,,,,,,GA,,,GA,,,GA,GA
Virtual Machines,Mbsv3 Series,,,GA,,GA,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,,,GA,,GA,,,GA,,GA,,GA,,,,GA,GA,,,,,,,GA,GA,GA,,GA,,,,,,,GA,,,GA,,,GA,GA
Virtual Machines,Mbsv4 series,,,,,,,,,,,,,,,,,,,,,,Preview,Preview,,,,Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Machines,Mdsv2 Medium Memory Series,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,,GA,,GA,GA,,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,GA,,GA,GA,GA
Virtual Machines,Mdsv3 High Memory Series,,,,,,,,,,,,GA,GA,,,,,,,,,GA,GA,,,,GA,,,,GA,GA,,,,GA,,,,,GA,,,,,,,GA,GA,GA,,GA,,GA,,,,GA,,,,GA,,,GA,GA
Virtual Machines,Mdsv3 Medium Memory Series,,,GA,,GA,,GA,,GA,,GA,GA,,,,,,,GA,,GA,GA,GA,,,,GA,,GA,,,GA,GA,GA,,GA,,GA,,GA,GA,,,,,,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,,,GA,,,GA,GA
Virtual Machines,Msv2 Medium Memory Series,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,,GA,,GA,GA,,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,GA,,GA,GA,GA
Virtual Machines,Msv3 High Memory Series,,,,,,,,,,,,GA,GA,,,,,,,,,GA,GA,,,,GA,,,,GA,GA,,,,GA,,,,,GA,,,,,,,GA,GA,GA,,GA,,GA,,,,GA,,,,GA,,,GA,GA
Virtual Machines,Msv3 Medium Memory Series,,,GA,,GA,,GA,,GA,,GA,GA,,,,,,,GA,,GA,GA,GA,,,,GA,,GA,,,GA,GA,GA,,GA,,GA,,GA,GA,,,,,,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,,,GA,,,GA,GA
Virtual Machines,Mv2 SKL-series,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,,GA,,,GA,,GA,GA,GA,,,,GA,,GA,,,GA,GA,,GA,,,,,GA,GA,,,,,GA,,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA
Virtual Machines,NCads A100 v4-Series,,,GA,,,GA,GA,,GA,,GA,GA,,,,GA,,,,,,GA,GA,GA,,,GA,,GA,,GA,GA,,GA,,,,,,GA,GA,,,GA,,,,GA,,GA,,GA,,GA,,,,,GA,,,GA,,GA,GA,GA
Virtual Machines,NCadsH100_v5-series,,,GA,,,GA,,,GA,,GA,GA,,,,,,,,,,GA,GA,,,,GA,,GA,,,GA,GA,GA,,GA,,,,,GA,,,,,,,GA,,GA,GA,GA,,GA,,GA,,,GA,,,GA,,GA,GA,GA
Virtual Machines,NCas T4 v3-Series,GA,GA,GA,,,,GA,,GA,,GA,GA,,,,,,,GA,,GA,GA,GA,GA,,,GA,GA,,,GA,GA,GA,GA,,GA,,,,GA,GA,,,GA,,,,GA,GA,GA,GA,GA,,,,,,,GA,,,GA,,GA,GA,GA
Virtual Machines,NCCadsH100_v5-series,,,,,,,,,,,,GA,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,
Virtual Machines,NCv3-Series,,,Closing Down,,,,Closing Down,,Closing Down,,Closing Down,Closing Down,,,Closing Down,,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,,,,Closing Down,,Closing Down,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,,,Closing Down,,,,,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down
Virtual Machines,NDamsr A100 v4-Series,,,,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,,,GA,,,,,,,GA,GA,,GA,,,GA,
Virtual Machines,NDasr A100 v4-Series,,,,,,GA,,,,,,,,,,,,,,,,GA,GA,,,,,,GA,,,,GA,,,,,,,,,,,,,,,GA,,,,,,,,GA,,,,,,GA,,,GA,
Virtual Machines,NDsr H100 v5-Series,,,GA,,,GA,,,GA,,,GA,,,,,,,,,,GA,GA,,,,,,GA,,GA,GA,GA,GA,,,,,,GA,,GA,,GA,,GA,,GA,,,,GA,,,,,,GA,,,GA,GA,,GA,GA,
Virtual Machines,NDsr H200 v5-Series,,,GA,GA,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,GA,GA,GA,,GA,,GA,,,GA,,GA,,GA,,GA,,,,,GA,,,GA,,,,GA,GA,GA,,,,,,GA
Virtual Machines,NDsr MI300X v5-Series,,,,,,,,,GA,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,,,,GA,,
Virtual Machines,NDv2-Series,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,GA,,,GA,
Virtual Machines,NGads_V620_v1-series,,,,,,,,,,,,GA,,,,,,,,,,,Preview,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,Preview,,,,,,,GA,,,Preview,,,,
Virtual Machines,NP-series,,,,,,,,,Closing Down,,,,,,,,,,,,,Closing Down,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,Closing Down,,Closing Down,,,,,,,,,,,,Closing Down,,,Closing Down,
Virtual Machines,NVads_V710_v5-series,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,,GA,,,,,,,,,,,,,,GA,,GA,,
Virtual Machines,NVadsA10_v5-series,,,GA,,,,GA,,GA,,GA,,,,,,,,GA,,GA,GA,GA,GA,,,GA,,GA,,GA,GA,,GA,,GA,,,,GA,GA,,,GA,GA,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,,,GA,,GA,GA,GA
Virtual Machines,NVv3-Series,,,Closing Down,,,,Closing Down,,,,Closing Down,,,,,,,,,,,Closing Down,Closing Down,Closing Down,,,,,,,,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,,Closing Down,,Closing Down,,Closing Down,,,,Closing Down,,,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,NVv4-Series,,,Closing Down,,,,,,Closing Down,,Closing Down,,,,,,,,Closing Down,,,Closing Down,Closing Down,Closing Down,,,Closing Down,,,,Closing Down,Closing Down,,Closing Down,,,,,,Closing Down,Closing Down,,,Closing Down,,,,Closing Down,,Closing Down,Closing Down,Closing Down,,,,,,,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down
Virtual Machines,Serial Console,,,GA,,GA,GA,GA,,GA,,GA,GA,,,GA,,,,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,GA,
Virtual Machines,SpotBlock-Series,,,,,,,,,,,,,,,,,,,,,,,Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Machines,Standard NCds xl RTXPRO6000BSE v6 - Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,GA,
Virtual Machines,Standard NClds xl RTXPRO6000BSE v6 - Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,GA,
Virtual Machines Licenses,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Network,General,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Network,Global Vnet Peering,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
